State,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12
Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,310,315,333,359,374,390,410,414,423,437,444,463,463,482,488,493,505,516,526,532,541,544,548,551,558,565,566,551,561,561,563,563,564,565,572,573,574,578,578,579,585,589,591,592,593,600,604,605,606,608,608,609,612,611,614,616,617,618,621,622,623,627,628,629,630,637,639,640,642,644,651,669,673,686,696,705,714,719,722,736,741,746,754,756,777,781,797,811,840,847,872,890,911,921,951,975,994,1019,1043,1057,1084,1113,1125,1148,1167,1179,1191,1205,1215,1226,1243,1269,1294,1315,1354,1402,1440,1467,1511,1548,1586,1665,1716,1716,1756,1808,1841,1868,1977,2031,2031,2072,2107,2143,2236,2236,2288,2371,2410,2477,2520,2578,2634,2689,2778,2855,2931,2991,3028,3063,3120,3176,3334,3418,3565,3693,3885,4105,4248,4394,4622,4759,4888,4992,5125,5265,5397,10126,10155,10215,10256,10298,10340,10389,10415,10446,10470,10526,10573,10604,10651,10713,10750
Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,453,520,585,660,710,767,867,867,938,983,1039,1087,1121,1175,1215,1267,1267,1358,1379,1399,1420,1442,1473,1473,1508,1536,1557,1573,1588,1612,1612,1649,1668,1688,1720,1735,1755,1755,1755,2100,2185,2195,2225,2248,2248,2266,2282,2311,2362,2408,2461,2461,2509,2554,2628,2684,2776,2837,2837,2877,2921,3013,3088,3183,3305,3305,3405,3484,3610,3712,3827,3898,3898,4073,4233,4393,2801,2831,2858,2886,2907,2932,2978,3022,3066,3114,3179,3262,3360,3513,3676,3827,3989,4149,4335,4504,4746,5008,5251,5483,5731,5964,6203,6472,6744,6998,7146,7370,7617,7875,8207,8486,8738,8921,9157,9341,9548,9850,10089,10369,10616,10883,11093,11397,11733,12007,12359,12606,12867,13081,13353,13657,13928,14175,14490,14712,14963,15212,15585,15787,16071,16339,16554,16760,16956,17304,17599,18052,18406,18619,18826,19075,19405,19691,19915,20105,20304,20485,20674,20901,21105,21291,21468,21630,21796,21976,22180,22371,22568,22744,22930,23115,23288,23475,23678,23881,24089,24304
Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21704,22224,22623,23182,23707,24317,24729,25138,25608,26205,26791,27321,27811,28241,28522,28744,29093,29671,30175,30760,31110,31302,31739,32152,32152,33036,33396,33725,33935,34348,34646,35025,35405,35756,36076,36475,36788,36999,37462,37795,38120,38441,38623,38914,39155,39571,40004,40421,40722,40965,41322,41322,41322,42603,43066,43535,43809,44124,44548,45058,45751,46466,46955,47355,47355,43535,51709,53301,54068,54068,54068,54068,56349,57209,57209,59073,59488,59801,60677,61518,62483,63262,64131,64131,64131,64131,66703,67673,68675,69723,70183,70534,71591,72391,73390,74288,75222,75680,76023,77015,77939,78925,79859,80738,81089,81405,82311,83279,84336,85334,86260,86260,87090,88173,89072,90069,90979,91866,92306,92552,92847,93921,94816,95655,94816,96845,96845,98127,98988,99802,100528,101184,101184,101184,102769
Iowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674,741,741,908,987,1007,1095,1171,1235,1293,1428,1492,1604,1723,1900,2021,2164,2428,2697,2899,3156,3325,3486,3572,3803,4266,4685,5011,5154,5249,5618,5954,6231,6561,6927,7154,7324,8130,8362,8672,9079,9254,9318,9377,9791,10016,10359,10753,11019,11147,11440,11742,12064,12333,12585,12715,12805,13028,13411,13628,13956,14227,14326,14383,14625,15025,15289,15604,15816,15963,16068,16240,16579,16858,17017,17313,17467,17620,17851,23212,23607,23993,24338,24604,24739,25121,25594,25974,26340,25891,26104,26234,26664,26952,27177,27404,27609,27820,27894,28024,28388,28607,28924,29216,29477,29625,29873,30623,31246,31835,32578,32819,32952,33219,34023,34733,35548,36322,36882,37096,37317,38033,38657,39320,39879,40381,40525,40788,41565,41837,42372,42912,43383,43493,43738,44396,44903,45447,45977,46409,46555,46740,47437,48074,48580,49053,49521,49723,49884,50466,51014,51691,52370,52953,53151,53417,54352,55067,55834,56546,57269,57524,57942,59216,60350,61509,62648,65490,65838,66327,67477,68456,69619,70501,71319,71600,71920,72273,73311,74250,75113,75948,76260,76611
Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,272,280,286,286,291,296,318,323,332,350,371,376,376,422,422,443,443,443,465,465,473,473,485,485,485,493,493,534,534,547,547,547,547,555,592,592,612,612,612,625,625,657,657,667,667,667,676,676,696,696,715,715,715,722,722,747,747,779,779,779,794,794,834,834,842,842,842,859,859,879,879,905,905,905,920,920,948,948,983,983,983,1016,1016,1050,1050,1077,1077,1077,1108,1108,1149,1149,1178,1178,1178,1196,1196,1254,1254,1293,1293,1293,1319,1319,1367,1367,1399,1399,1399,1409,1409,1472,1472,1520,1520,1520,1535,1535,1624,1624,1658,1658,1658,1673,1673,1730,1730,1785,1785,1785,1796,1796,1817,1817,1859,1859,1859,1887,1887,1920,1920,1950,1950,1950,1970,1970,2008,2008,2039,2039,2039,2051,2051,2095,2095,2136,2136,2136,2165,2165,2231,2231,2275,2275,2275,2301
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464,607,629,653,862,956,979,1174,1174,1174,1266,1311,1341,1341,1501,1511,1521,1617,1668,1675,1752,1752,1892,1892,2058,2125,2177,2266,2308,2308,2335,2546,2649,2712,2739,2768,2768,2826,2826,2919,3008,3069,3102,3102,3102,3124,3124,3181,3231,3232,3232,3275,3283,3303,3316,3344,3344,3359,3365,3375,3379,3379,3409,3409,3416,3431,3444,3506,3516,3530,3530,3534,3591,3706,3719,3730,3730,3730,3939,3990,4052,4726,4747,4747,4747,4785,4841,4912,4939,5258,5322,5322,5344,5389,5475,5500,6772,6824,6824,6876,6927,7000,7046,7396,7421,7421,7466,7470,7495,7590,7481,8135,8135,8335,8406,8467,8523,8589,8674,8674,8738,8819,8893,8965,9021,9091,9091,9158,9233,9331,9388,9448,9448,9448,9544,9594,9594,9731,10266,10328,10328,10375,10417,10463,10547,10587,10613,10613,10648,10665,10725,10791,10822,10872,10872,10918,10962,11043,11109,11168,11237,11237,11283,11361,11480,11570,11677,11750,11750,11787,11792,11840,11970,12041,12121,12121,12445,12751,12800,13113,13417,13539,13539,13615
Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14927,14927,14927,17303,17303,17303,17303,17303,17303,17303,20316,20316,20316,20316,20316,20316,20316,22608,22608,22608,22608,22608,22608,22608,26249,26249,26249,26249,26249,26249,26249,28700,28700,28700,28700,28700,28700,28700,31728,31728,31728,31728,31728,31728,31728,33904,33904,33904,33904,33904,33904,33904,37017,37017,37017,37017,37017,37017,37017,39792,39792,39792,39792,39792,39792,39792,42225,42225,43026,43026,43026,43026,43026,43026,43026,46334,46334,46334,46334,46334,46334,46334,53288,53288,53288,53288,53288,53288,53288,61456,61456,61456,61456,61456,61456,61456,74246,74246,74246,74246,74246,74246,74246,89083,89083,89083,89083,89083,89083,89083,103512,103512,103512,103512,103512,103512,103512,118120,118120,118120,118120,118120,118120,118120,127918,127918,127918,127918,127918,127918,127918,134432,134432,134432,134432,134432,134432,134432,140440,140440,140440,140440,140440,140440,140440,145570,145570,145570,145570,145570,145570,145570,149640,149640,149640,149640,149640,149640,149640,154163,154163,154163,154163,154163,154163,154163,157873,157873,157873,157873,157873,157873
Maine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,273,292,305,333,352,382,393,414,443,455,485,499,519,532,549,585,615,631,657,689,706,720,741,766,787,836,857,861,872,913,943,958,993,1012,1028,1053,1088,1100,1145,1192,1232,1263,1290,1318,1357,1402,1458,1505,1552,1586,1646,1699,1739,1797,1845,1864,1891,1992,2023,2062,2105,2152,2173,2189,2233,2275,2300,2323,2380,2391,2409,2443,2490,2512,2542,2566,2577,2623,2646,2671,2698,2731,2751,2772,2787,2816,2856,2901,2931,2972,2994,3008,3062,3079,3094,3114,3136,3148,3159,3191,3216,3239,3259,3281,3284,3292,3319,3336,3345,3361,3377,3387,3396,3424,3456,3475,3479,3504,3512,3537,3560,3579,3592,3604,3616,3624,3638,3649,3662,3679,3698,3718,3734,3762,3784,3818,3847,3887,3899,3910,3923,3945,3978,3988,4006,4037,4049,4076,4086,4135,4153,4191,4211,4226,4237,4280,4307,4317,4335,4346,4364,4384,4407,4445,4478,4507,4538,4567,4599,4629,4678,4704,4741,4763,4782,4807,4839,4880,4900,4933,4951,4970,4998
Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456,603,607,607,736,736,771,914,917,930,981,1040,1108,1165,1177,1263,1295,1361,1432,1517,1590,1666,1695,1810,1903,2029,2041,2159,2293,2298,2394,2456,2569,2685,2806,2816,2817,2868,2993,3099,3243,3283,3319,3329,3334,3401,3468,3571,3649,3764,3782,3855,3970,3985,4159,4175,4240,4240,4279,4310,4365,4474,4536,4541,4567,4579,4596,4640,4685,4745,4773,4776,4797,4810,4874,4903,4935,4976,4979,4982,5001,5013,5023,5025,5029,5029,5036,5085,5132,5157,5190,5230,5230,5238,5238,5286,5286,5344,5344,5344,5380,5434,5434,5434,5434,5434,5434,5592,5592,5592,5689,5713,5713,5740,5740,5749,5790,5838,5899,5910,5910,5935,5956,5962,5986,5995,6004,6008,6008,6030,6040,6047,6047,6047,6047,6056,6061,6080,6124,6124,6124,6124,6976,7026,7039,7072,7099,7103,7112,7142,7157,7166,7186,7221,7225,7229,7254,7286,7311,7351,7374,7377,7378,7394,7396,7416,7431,7458,7463,7476,7509,7536,7568,7606,7652,7653,7657,7661,7665,7676,7704,7721,7738,7738
Massachusetts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93157,93157,93157,93157,94347,94347,94347,94347,94347,94347,94347,95390,95390,95390,95390,95390,95390,95390,96452,96452,96452,96452,96452,96452,96452,96452,97595,97595,97595,97595,97595,97595,99021,99021,99021,99021,99021,99021,99021,99021,100486,100486,100486,100486,100486,100486,102205,102205,102205,102205,102205,102205,102205,103920,103920,103920,103920,103920,103920,103920,103920,105769,105769,105769,105769,105769,105769,107501,107501,107501,107501,107501,107501,107501,109397,109397,109397,109397,109397,109397,109397,109397,111479,111479,111479,111479,111479,111479,113768,113768,113768,113768,113768,113768,113768,116364,116364,116364,116364,116364,116364
Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433,447,452,452,617,629,3237,3237,3237,3237,3237,3237,3237,8342,8342,8342,8342,8342,8342,8342,15659,15659,15659,15659,15659,15659,15659,22686,22686,22686,22686,22686,22686,22686,28234,28234,28234,28234,28234,28234,28234,33168,33168,33168,33168,33168,33168,33168,38099,38099,38099,38099,38099,38099,38099,42041,42041,42041,42041,42041,42041,42041,44964,44964,44964,44964,44964,44964,44964,49290,49290,49290,49290,49290,49290,49290,51099,51099,51099,51099,51099,51099,51099,52841,52841,52841,52841,52841,52841,52841,53867,53867,53867,53867,53867,53867,53867,55162,55162,55162,55162,55162,55162,55162,55162,57502,57502,57502,57502,57502,57502,60022,60022,60022,60022,60022,60022,60022,63636,63636,63636,63636,63636,63636,63636,67778,67778,67778,67778,67778,67778,67778,72580,72580,72580,72580,72580,72580,72580,76151,76151,76151,76151,76151,76151,76151,80678,80678,80678,80678,80678,80678,80678,85513,85513,85513,85513,85513,85513,85513,90216,90216,90216,90216,90216,90216,90216,95051,95051,95051,95051,95051,95051,95051,99521,99521,99521,99521,99521,99521,99521,104271,104271,104271
Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,842,842,909,940,1020,1066,1118,1160,1202,1254,1317,1536,1594,1654,1774,1842,1912,2043,2172,2282,2397,3015,4212,4614,5005,5308,5697,6322,6882,7536,NA,8149,8473,8820,9571,10175,10764,11540,12227,12488,12696,13485,14115,14816,15523,16314,16655,16930,17864,18695,19441,20381,21169,21490,21864,22253,22992,23657,24221,24675,24870,25028,25620,26090,26609,27006,27404,27566,27709,28205,28663,29065,29399,29707,29854,30008,30401,30809,31225,31601,31947,32163,32347,32347,37617,33907,34377,34902,35193,35442,36012,36582,37199,37749,38179,38290,38568,39310,40001,40742,41511,42234,42524,42882,43625,44431,45198,45987,46636,46965,47289,48119,48847,49565,50426,51223,51604,51940,52768,53568,54364,55151,55855,56346,56659,57457,58196,58859,59568,60242,60605,60920,61698,62373,63059,63725,64374,64876,65204,66107,66916,67656,68488,69521,70175,70537,71507,72463,73403,74235,75055,75425,75757,76650,77461,78238,78953,79583,79878,80221,80407,81336,82174,82833,83507,83862,84256,85259,86252,87330,88380,89392,89980,90492,91844,93148,94416,95614,96616,97254,97715,99054,100171,101376
Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3413,3413,3413,3413,3413,4421,4421,4421,4421,4421,4421,4421,6268,6268,6268,6268,6268,6268,6268,7681,7681,7681,7681,7681,7681,7681,9401,9401,9401,9401,9401,9401,9401,11203,11203,11203,11203,11203,11203,11203,13356,13356,13356,13356,13356,13356,13356,15323,15323,15323,15323,15323,15323,15323,17242,17242,17242,17242,17242,17242,17242,19388,19388,19388,19388,19388,19388,19388,22167,22167,22167,22167,22167,22167,22167,25932,25932,25932,25932,25932,25932,25932,30315,30315,30315,30315,30315,30315,30315,35071,35071,35071,35071,35071,35071,35071,42391,42391,42391,42391,42391,42391,42391,42391,49836,49836,49836,49836,49836,49836,56577,56577,56577,56577,56577,56577,56577,56577,62707,62707,62707,62707,62707,62707,67918,67918,67918,67918,67918,67918,67918,67918,74098,74098,74098,74098,74098,74098,78971,78971,78971,78971,78971,78971,78971,85327,85327,85327,85327,85327,85327,85327,89737,89737,89737,89737,89737,89737,89737,90577,90577,90577,90577,90577,90577,90577,94165
Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
